Year,Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
2000,17,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"9,310",5.926,Not Available
2000,18,MOLECULAR AND CELLULAR NEUROSCIENCE,"2,447",5.746,Not Available
2000,19,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,"5,896",5.565,Not Available
2000,20,NEUROBIOLOGY OF DISEASE,"1,064",5.333,Not Available
1999,1,ANNUAL REVIEW OF NEUROSCIENCE,"6,824",22.605,Not Available
1999,2,TRENDS IN NEUROSCIENCES,"14,518",19.925,Not Available
1999,3,NEURON,"34,420",16.782,Not Available
1999,4,BEHAVIORAL AND BRAIN SCIENCES,"3,063",11.276,Not Available
1999,5,CURRENT OPINION IN NEUROBIOLOGY,"5,285",9.287,Not Available
1999,6,JOURNAL OF NEUROSCIENCE,"62,368",8.955,Not Available
1999,7,NEUROIMAGE,"2,087",8.93,Not Available
1999,8,NATURE NEUROSCIENCE,"1,512",8.863,Not Available
1999,9,ANNALS OF NEUROLOGY,"24,688",8.321,Not Available
1999,10,MOLECULAR PSYCHIATRY,"1,352",7.942,Not Available
1999,11,FRONTIERS IN NEUROENDOCRINOLOGY,990,7.826,Not Available
1999,12,BRAIN,"16,126",7.374,Not Available
1999,13,PROGRESS IN NEUROBIOLOGY,"5,026",7.09,Not Available
1999,14,BRAIN RESEARCH REVIEWS,"3,232",6.651,Not Available
1999,15,CEREBRAL CORTEX,"3,575",5.901,Not Available
1999,16,JOURNAL OF COGNITIVE NEUROSCIENCE,"2,387",5.793,Not Available
1999,17,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"9,480",5.714,Not Available
1999,18,MOLECULAR AND CELLULAR NEUROSCIENCE,"2,128",5.654,Not Available
1999,19,MOLECULAR NEUROBIOLOGY,963,5.623,Not Available
1999,20,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,"5,661",5.59,Not Available
1998,1,NATURE NEUROSCIENCE,123,Not Available,Not Available
1998,1,NEURAL PLASTICITY,1,Not Available,Not Available
1998,3,ANNUAL REVIEW OF NEUROSCIENCE,"6,463",23.023,Not Available
1998,4,TRENDS IN NEUROSCIENCES,"13,614",18.463,Not Available
1998,5,NEURON,"31,006",16.505,Not Available
1998,6,ANNALS OF NEUROLOGY,"23,293",9.455,Not Available
1998,7,CURRENT OPINION IN NEUROBIOLOGY,"4,347",8.854,Not Available
1998,8,BEHAVIORAL AND BRAIN SCIENCES,"2,934",8.8,Not Available
1998,9,JOURNAL OF NEUROSCIENCE,"52,982",8.403,Not Available
1998,10,CEREBRAL CORTEX,"3,083",7.413,Not Available
1998,11,FRONTIERS IN NEUROENDOCRINOLOGY,990,7.25,Not Available
1998,12,CEREBROVASCULAR AND BRAIN METABOLISM REVIEWS,572,6.9,Not Available
1998,13,BRAIN RESEARCH REVIEWS,"2,823",6.25,Not Available
1998,14,MOLECULAR AND CELLULAR NEUROSCIENCE,"1,743",6.089,Not Available
1998,15,BRAIN,"13,582",5.952,Not Available
1998,16,PROGRESS IN NEUROBIOLOGY,"4,333",5.688,Not Available
1998,17,NEUROIMAGE,"1,041",5.611,Not Available
1998,18,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"8,703",5.524,Not Available
1998,19,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,"5,087",5.366,Not Available
1998,20,CRITICAL REVIEWS IN NEUROBIOLOGY,599,5.355,Not Available
1997,1,ANNUAL REVIEW OF NEUROSCIENCE,"6,023",21.952,Not Available
1997,2,TRENDS IN NEUROSCIENCES,"12,489",17.084,Not Available
1997,3,NEURON,"27,185",15.821,Not Available
1997,4,BRAIN RESEARCH REVIEWS,"2,589",11.553,Not Available
1997,5,HUMAN BRAIN MAPPING,713,10.049,Not Available
1997,6,ANNALS OF NEUROLOGY,"21,722",9.513,Not Available
1997,7,BEHAVIORAL AND BRAIN SCIENCES,"2,642",8.118,Not Available
1997,8,JOURNAL OF NEUROSCIENCE,"44,784",7.915,Not Available
1997,9,CURRENT OPINION IN NEUROBIOLOGY,"3,193",7.356,Not Available
1997,10,FRONTIERS IN NEUROENDOCRINOLOGY,811,7.111,Not Available
1997,11,CEREBROVASCULAR AND BRAIN METABOLISM REVIEWS,636,6.286,Not Available
1997,12,MOLECULAR AND CELLULAR NEUROSCIENCE,"1,296",6.08,Not Available
1997,13,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"8,468",5.836,Not Available
1997,14,BRAIN PATHOLOGY,"1,376",5.663,Not Available
1997,15,CEREBRAL CORTEX,"2,384",5.581,Not Available
1997,16,BRAIN,"12,036",5.381,Not Available
1997,17,PROGRESS IN NEUROBIOLOGY,"3,614",5,Not Available
1997,18,JOURNAL OF COGNITIVE NEUROSCIENCE,"1,500",4.844,Not Available
1997,19,NEUROIMAGE,562,4.311,Not Available
1997,20,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,"4,633",4.253,Not Available
